name,url,city,count
Разнорабочий,https://enbek.kz/ru/vacancy/energetik-raznorabochii~4857784,Жезказган,1
Агент по туризму,https://enbek.kz/ru/vacancy/rekreaciyalyk-zhane-turizm-mamany-agent-po-turizmu~4857783,Арысь,1
Электромонтер по эксплуатации распределительных сетей,https://enbek.kz/ru/vacancy/elektromonter-po-ekspluatacii-raspredelitelnykh-setei-elektromonter-po-ekspluatacii-raspredelitelnykh-setei~4857782,Усть-Каменогорск,1
Юрист,https://enbek.kz/ru/vacancy/yurist-yurist~4857781,Талдыкорган,1
Водитель-курьер,https://enbek.kz/ru/vacancy/voditel-kurer-voditel-kurer~4857778,Усть-Каменогорск,1
Бухгалтер,https://enbek.kz/ru/vacancy/bukhgalter-bukhgalter~4857776,Атырау,1
Электромонтер по эксплуатации распределительных сетей,https://enbek.kz/ru/vacancy/elektromonter-po-ekspluatacii-raspredelitelnykh-setei-elektromonter-po-ekspluatacii-raspredelitelnykh-setei~4857774,Глубокое,1
Электрогазосварщик,https://enbek.kz/ru/vacancy/gazoelektrosvarshchik-elektrogazosvarshchik~4857773,Усть-Каменогорск,1
Воспитатель,https://enbek.kz/ru/vacancy/vospitatel-vospitatel~4857770,Астана,1
Машинист крана (крановщик),https://enbek.kz/ru/vacancy/mashinist-manipulyatora-mashinist-krana-(kranovshchik)~4857769,Балхаш,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochii~4857767,Рыскуловский  район,1
Подсобный рабочий,https://enbek.kz/ru/vacancy/podsobnyi-rabochii~4857766,о,1
Рабочий по защите растений,https://enbek.kz/ru/vacancy/rabochaya-lesovosstanovitelnykh-rabot-rabochii-po-zashchite-rastenii~4857764,Бородулиха,1
Главный финансовый менеджер,https://enbek.kz/ru/vacancy/glavnyi-finansovyi-menedzher~4857763,Меркенский район,1
Водитель автомобиля,https://enbek.kz/ru/vacancy/voditel-legkovykh-i-malotonnazhnykh-avtomobilei-voditel-avtomobilya~4857762,а,1
"Санитар, санитарка","https://enbek.kz/ru/vacancy/sanitarka-kurman-va-sanitar,-sanitarka~4857760",Уил,1
Слесарь по ремонту дизельных двигателей,https://enbek.kz/ru/vacancy/slesar-po-remontu-podvizhnogo-sostava-slesar-po-remontu-dizelnykh-dvigatelei~4857759,Аягоз,1
Юрист,https://enbek.kz/ru/vacancy/yurist~4857754,Чунджа,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochii~4857752,c.Аса,1
Электромонтер по эксплуатации распределительных сетей,https://enbek.kz/ru/vacancy/elektromonter-po-ekspluatacii-raspredelitelnykh-setei-elektromonter-po-ekspluatacii-raspredelitelnykh-setei~4857751,Бескарагай,1
Электромонтер по эксплуатации распределительных сетей,https://enbek.kz/ru/vacancy/elektromonter-po-ekspluatacii-raspredelitelnykh-setei~4857750,Таврическое,1
"Заместитель руководителя, Категория D-O-2","https://enbek.kz/ru/vacancy/zamestitel-rukovoditelya-zamestitel-rukovoditelya,-kategoriya-d-o-2~4857749",Кокшетау,1
Электромонтер по эксплуатации распределительных сетей,https://enbek.kz/ru/vacancy/elektromonter-po-ekspluatacii-raspredelitelnykh-setei~4857748,Аягоз,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochii~4857747,Акыртобе,1
Инженер-контролер (общий профиль),https://enbek.kz/ru/vacancy/kontroler-monter-inzhener-kontroler-(obshchii-profil)~4857746,Семей,1
Инженер по бурению (буровым работам),https://enbek.kz/ru/vacancy/starshii-konsultant-po-bureniyu-inzhener-po-bureniyu-(burovym-rabotam)~4857743,Актау,1
Воспитатель,https://enbek.kz/ru/vacancy/vospitatel-vospitatel~4857741,Усть-Каменогорск,1
Логопед-дефектолог,https://enbek.kz/ru/vacancy/defektolog-logoped-defektolog~4857740,Темиртау,1
Тифлопедагог,https://enbek.kz/ru/vacancy/tiflopedagog~4857739,Темиртау,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochii~4857738,c.Аса,1
Медицинская(ий) сестра/брат,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~4857737,Актобе,1
Медицинская(ий) сестра/брат,https://enbek.kz/ru/vacancy/medicinskaya-sestra-medicinskaya(ii)-sestra-brat~4856802,Кентау,1
Геодезист,https://enbek.kz/ru/vacancy/pomoshchnik-geodezista-geodezist~4857735,Степняк,1
Воспитатель,https://enbek.kz/ru/vacancy/vospitatel~4857734,Астана,1
"Главный специалист, Категория E-G-3","https://enbek.kz/ru/vacancy/glavnyi-specialist,-kategoriya-e-g-3~4857732",Каскабулак,1
Агроном,https://enbek.kz/ru/vacancy/agronom~4857730,о,1
Уборщик помещений,https://enbek.kz/ru/vacancy/uborshchik-pomeshchenii-uborshchik-pomeshchenii~4857728,Жезказган,1
Учитель начальных классов,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov-uchitel-nachalnykh-klassov~4857727,Шымкент,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochii~4857724,Бектобе,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochii~4857723,Акыртобе,1
Мастер пошивочной мастерской,https://enbek.kz/ru/vacancy/tiginshi-master-poshivochnoi-masterskoi~4857722,Атырау,1
Горничная,https://enbek.kz/ru/vacancy/gornichnaya-v-nebolshuyu-gostinicu-gornichnaya~4857721,Уральск,1
Учитель иностранного языка,https://enbek.kz/ru/vacancy/uchitel-angliiskogo-yazyka-uchitel-inostrannogo-yazyka~4857720,Шымкент,1
Водитель автомобиля,https://enbek.kz/ru/vacancy/voditel-avtomobilya-voditel-avtomobilya~4857718,Аксу,1
"Разнорабочий, птицеферма","https://enbek.kz/ru/vacancy/sezonnyi-rabotnik-dlya-vypolneniya-polevykh-rabot-raznorabochii,-pticeferma~4857715",Караганда,1
Экономист,https://enbek.kz/ru/vacancy/ekonomist-ekonomist~4857714,Караганда,1
Главный бухгалтер,https://enbek.kz/ru/vacancy/glavnyi-bukhgalter-glavnyi-bukhgalter~4857709,Атырау,1
Инструктор по труду,https://enbek.kz/ru/vacancy/khatshy-instruktor-po-trudu~4857708,Жанаозен,1
Швея,https://enbek.kz/ru/vacancy/shveya~4857706,Ефремовка,1
Водитель автобуса,https://enbek.kz/ru/vacancy/voditel-avtobusa-voditel-avtobusa~4857705,Астана,1
Кухонный рабочий,https://enbek.kz/ru/vacancy/pomoshchnik-povara-kukhonnyi-rabochii~4857703,Балхаш,1
Уборщик в школах,https://enbek.kz/ru/vacancy/uborshchik-v-shkolakh~4857702,Уральск,1
Библиотекарь,https://enbek.kz/ru/vacancy/bibliotekar-bibliotekar~4857701,Шымкент,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochii~4857700,Тастобе,1
Укладчик-упаковщик,https://enbek.kz/ru/vacancy/stikerovshchica-ukladchik-upakovshchik~4857698,Алматы,1
Инженер-электрик,https://enbek.kz/ru/vacancy/starshii-inzhener-elektrik-inzhener-elektrik~4857697,Актау,1
Сторож,https://enbek.kz/ru/vacancy/storozh~4857695,Кызылорда,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochii~4857692,Байтерек,1
Оператор котельной,https://enbek.kz/ru/vacancy/operator-kotelnoi-operator-kotelnoi~4857691,Лисаковск,1
