name,url,city,count
Менеджер по персоналу,https://hh.ru/vacancy/121469607,Не указано,1
Оператор в ПВЗ Озон,https://hh.ru/vacancy/120599142,Астана,1
SMM-менеджер,https://hh.ru/vacancy/121441232,Нур-Султан (Астана),1
"SMM-менеджер в магазин женской одежды MAX&Co в ТРЦ ""Керуен"" (ул.Достык, 9)",https://hh.ru/vacancy/121471359,Не указано,1
Офис-менеджер,https://hh.ru/vacancy/120654758,Астана,1
Менеджер по продажам,https://hh.ru/vacancy/121529088,Астана,1
Кассир,https://hh.ru/vacancy/121548704,Не указано,1
Продавец-консультант,https://hh.ru/vacancy/121404334,Астана,1
Юрист,https://hh.ru/vacancy/121505794,Не указано,1
Администратор,https://hh.ru/vacancy/121130739,Астана,1
Backend разработчик (middle),https://hh.ru/vacancy/121519627,Не указано,1
Продавец,https://hh.ru/vacancy/121225145,Не указано,1
Преподаватель Английскому языку,https://hh.ru/vacancy/121223792,Астана,1
Электротехник,https://hh.ru/vacancy/121516343,Не указано,1
Администратор на ресепшен,https://hh.ru/vacancy/121216858,Не указано,1
Продавец-консультант в магазин “Dr.Kong”,https://hh.ru/vacancy/121310850,Астана,1
Аналитик,https://hh.ru/vacancy/121321173,Не указано,1
Бармен в зону отдыха,https://hh.ru/vacancy/121386143,Не указано,1
Водитель-помощник с личным автомобилем,https://hh.ru/vacancy/121435526,Не указано,1
Кассир-операционист,https://hh.ru/vacancy/121460045,Астана,1
Помощник/ассистент руководителя,https://hh.ru/vacancy/121470965,Астана,1
Frontend разработчик (Angular),https://hh.ru/vacancy/121556489,Астана,1
Администратор,https://hh.ru/vacancy/121184678,Астана,1
Бухгалтер,https://hh.ru/vacancy/121452438,Нур-Султан (Астана),1
Администратор пункта выдачи,https://hh.ru/vacancy/121466469,Астана,1
Ассистент тренера по детскому футболу,https://hh.ru/vacancy/120986954,Нур-Султан (Астана),1
Оператор видеонаблюдения БЦ,https://hh.ru/vacancy/121514468,Астана,1
Шеф бармен,https://hh.ru/vacancy/121380909,Не указано,1
Backend developer,https://hh.ru/vacancy/121527188,Не указано,1
Продавец-консультант в магазин одежды,https://hh.ru/vacancy/121130019,Не указано,1
Администратор,https://hh.ru/vacancy/121346178,Астана,1
"Разработчик Java (Java spring boot, JavaEE, EJB/Hibernate), Middle",https://hh.ru/vacancy/121474934,Нур-Султан (Астана),1
SMM-специалист на гибридный график работы,https://hh.ru/vacancy/121314278,Не указано,1
Продавец-консультант,https://hh.ru/vacancy/121193315,Астана,1
Администратор,https://hh.ru/vacancy/121382855,Астана,1
Продавец-консультант,https://hh.ru/vacancy/120661897,Астана,1
Руководитель службы безопасности (CSO / Head of Security) в финтех-стартап,https://hh.ru/vacancy/121395829,Не указано,1
Специалист отдела логистики (старший логист),https://hh.ru/vacancy/121501457,Астана,1
Офис-менеджер для барбершопа,https://hh.ru/vacancy/121507025,Астана,1
Полетный диспетчер (Flight dispatcher),https://hh.ru/vacancy/121110114,Астана,1
Клиентский менеджер Центр банковского обслуживания\Центр бизнеса,https://hh.ru/vacancy/121452944,Не указано,1
运营经理 俄语区 Операционный менеджер,https://hh.ru/vacancy/121533244,Не указано,1
Ученик (детейлинг),https://hh.ru/vacancy/121186409,Астана,1
Юрисконсульт/Юрист/Адвокат,https://hh.ru/vacancy/121526518,Астана,1
Садовник в частный дом,https://hh.ru/vacancy/121503756,Не указано,1
Хостес,https://hh.ru/vacancy/121510953,Астана,1
Продавец-консультант в магазин косметики,https://hh.ru/vacancy/121026438,Нур-Султан (Астана),1
Оператор боулинга,https://hh.ru/vacancy/121359202,Астана,1
Графический дизайнер,https://hh.ru/vacancy/121367133,Астана,1
Продавец-кассир (Happy Cake),https://hh.ru/vacancy/120417794,Не указано,1
Видеограф,https://hh.ru/vacancy/121451816,Не указано,1
Бухгалтер на первичную документацию,https://hh.ru/vacancy/120776022,Не указано,1
Менеджер по прямым продажам,https://hh.ru/vacancy/120918714,Астана,1
Оператор в компьютерный клуб,https://hh.ru/vacancy/121309977,Не указано,1
Оператор игровых аттракционов и аппаратов,https://hh.ru/vacancy/121448953,Астана,1
Старший диспетчер,https://hh.ru/vacancy/121493602,Астана,1
Упаковщик,https://hh.ru/vacancy/120952093,Астана,1
Медицинская сестра/Медицинский брат,https://hh.ru/vacancy/121386017,Астана,1
Менеджер по закупкам и снабжению,https://hh.ru/vacancy/121533845,Астана,1
Кассир-продавец,https://hh.ru/vacancy/118956909,Не указано,1
Няня,https://hh.ru/vacancy/121182341,Астана,1
Продавец-консультант,https://hh.ru/vacancy/121193755,Астана,1
Помощник главного бухгалтера,https://hh.ru/vacancy/119868093,Не указано,1
Продавец-консультант,https://hh.ru/vacancy/121553571,Не указано,1
SMM-менеджер в цветочную,https://hh.ru/vacancy/121443091,Астана,1
Администратор зала,https://hh.ru/vacancy/121508181,Астана,1
Требуется Шеф-Повар/Повара.,https://hh.ru/vacancy/120900523,Не указано,1
SMM - контент менеджер,https://hh.ru/vacancy/121368535,Астана,1
Заведующий производственной базой,https://hh.ru/vacancy/121494201,Астана,1
Директор по развитию бизнеса,https://hh.ru/vacancy/121359950,Не указано,1
Бариста в кофейню Costa Coffee (Keruencity),https://hh.ru/vacancy/120616033,Астана,1
Директор департамента ИТ,https://hh.ru/vacancy/121449657,Не указано,1
"Главный юрист, г. Астана",https://hh.ru/vacancy/121498540,Не указано,1
Бухгалтер по заработной плате,https://hh.ru/vacancy/121361604,Астана,1
Оператор производства (1С),https://hh.ru/vacancy/121517169,Астана,1
Фасовщик продукции,https://hh.ru/vacancy/120943576,Не указано,1
Assistant (Kazakhstan Foreign Investors’ Council Association),https://hh.ru/vacancy/121035022,Не указано,1
HSE менеджер БиОТ (Координатор по обучению),https://hh.ru/vacancy/121504721,Не указано,1
Преподаватель английского языка (в онлайн школу),https://hh.ru/vacancy/120603615,Не указано,1
Координатор управления администрирования ИС (информационных систем),https://hh.ru/vacancy/121539903,Нур-Султан (Астана),1
Продавец-консультант в магазин женской одежды Vivien Wear,https://hh.ru/vacancy/121491498,Астана,1
Медицинская сестра/Медицинский брат,https://hh.ru/vacancy/121343783,Астана,1
Руководитель отдела продаж,https://hh.ru/vacancy/121496344,Астана,1
Главный бухгалтер,https://hh.ru/vacancy/121528609,,1
"Официант (раннер) в кафе Ет-Ет (Елубая Тайбекова, 14)",https://hh.ru/vacancy/120442766,Не указано,1
Java Backend Developer,https://hh.ru/vacancy/121473112,Не указано,1
Продавец-консультант,https://hh.ru/vacancy/121508060,Астана,1
Преподаватель английского языка,https://hh.ru/vacancy/121316722,Не указано,1
Водитель - разнорабочий,https://hh.ru/vacancy/121508049,Не указано,1
Администратор в образовательный центр,https://hh.ru/vacancy/120639091,Не указано,1
Официант в развлекательный комплекс,https://hh.ru/vacancy/121079099,Астана,1
Юрист,https://hh.ru/vacancy/121380357,Не указано,1
Администратор в детский центр,https://hh.ru/vacancy/121190404,Астана,1
Бухгалтер материального стола,https://hh.ru/vacancy/121519615,Астана,1
Бортпроводник,https://hh.ru/vacancy/120610917,Нур-Султан (Астана),1
Главный бухгалтер,https://hh.ru/vacancy/121079215,Нур-Султан (Астана),1
SMM-менеджер,https://hh.ru/vacancy/121545017,Астана,1
Фельдшер,https://hh.ru/vacancy/120965744,Астана,1
Backend-разработчик,https://hh.ru/vacancy/121100936,Не указано,1
Бухгалтер,https://hh.ru/vacancy/121450574,Не указано,1
Авиаагент-стажер,https://hh.ru/vacancy/121452875,Не указано,1
Document Controller,https://hh.ru/vacancy/121519271,Не указано,1
Администратор на ресепшен,https://hh.ru/vacancy/120654999,Не указано,1
Хостес,https://hh.ru/vacancy/121374804,Астана,1
Администратор салона красоты,https://hh.ru/vacancy/121530018,Астана,1
Кассир-продавец,https://hh.ru/vacancy/121269031,Астана,1
Администратор PlayStation клуба,https://hh.ru/vacancy/120658358,Астана,1
Печатник,https://hh.ru/vacancy/120624260,Астана,1
Бариста Costa Coffee Yes Apart,https://hh.ru/vacancy/120773998,Не указано,1
Project Manager,https://hh.ru/vacancy/121388616,Не указано,1
Администратор в клинику дерматологии и косметологии,https://hh.ru/vacancy/121438293,Астана,1
Администратор в детский центр,https://hh.ru/vacancy/121538575,Астана,1
Кассир-администратор,https://hh.ru/vacancy/121096022,Астана,1
Frontend-разработчик,https://hh.ru/vacancy/121344885,Не указано,1
