name,count
Специалист отдела розыска и взыскания,1
Бухгалтер по реализации на производства,1
Продавец-консультант (Бокейхана),1
Санитарный врач в общепит,1
Администратор/офис-менеджер учебного центра,1
Специалист по сбору информации,1
Кладовщик-грузчик,1
Оператор NPS,1
Специалист по таможенному оформлению (Customs Specialist),1
Руководитель Маркетинга (Креативный Менеджер),1
Казначей,1
Продавец-консультант/кассир (ТРЦ Хан Шатыр),1
Администратор в маникюрный салон,1
Младший бухгалтер,1
Бизнес-аналитик,1
Регистратор в медицинский центр,1
"Главный специалист по ОТ, ТБ и ПБ",1
Территориальный менеджер ( Релокация в Узбекистан),1
Корпоративный юрист,1
Ведущий бухгалтер,1
Администратор PlayStation клуба,1
Ведущий специалист бухгалтерии,1
Менеджер по продажам (администратор клиники),1
Видеооператор,1
Шеф повар в кофейню,1
Бариста на фреш бар,1
Мастер массажа в SPA при отеле - город Дубай,1
Главный администратор в ТРЦ,1
Мастер завода,1
Тестировщик ПО (Автоматизатор),1
Директор магазина в женский бренд одежды,1
Менеджер консультант по анкетированию,1
Продавец-консультант в магазин женской одежды,1
Официант в ресторан Aq Anyz,1
Лидоруб,1
Руководитель отдела маркетинга и рекламы,1
Продавец-консультант бижутерии,1
Cost Estimated engineer,1
Менеджер Управления по инфраструктурным сервисам и резервированию,1
Помощник по проверке грамматических ошибок сайтов,1
Директор департамента стратегии и проектного управления,1
Truck dispatcher,1
Лид менеджер,1
Дизайнер-печатник в полиграфию (РПК),1
Рентген-лаборант,1
"Руководитель структурного подразделения, г. Астана",1
Администратор службы сервиса World Class,1
Junior Data Engineer,1
Воспитатель в мини-центр развития,1
Администратор детского центра,1
Менеджер,1
Водитель офиса с личным автомобилем,1
Менеджер по продажам B2B,1
Помощник судебного исполнителя,1
Управляющий гостиницей,1
Internal Communications Senior Specialist,1
Бухгалтер по учету реализации тмц и услуг,1
Главный специалист по обращениям,1
Ведущий эксперт Направления залогового обеспечения в г.Астана,1
"Автомойщик (г. Астана, автосалон Geely) Орбис Авто",1
